Mandatory,Package_Name,Install_Method,Command
1,activitywatch-bin
0,aic94xx-firmware
0,alacritty
1,antibody
1,arandr
0,arch-install-scripts
0,archivemount
0,arch-wiki-lite
0,aria2
0,asar
0,autoconf2.13
0,baobab
1,bat
0,betterdiscord
0,betterdiscordctl-git
0,bfg
0,bitwarden
1,bitwarden-cli
1,blackarch-keyring
1,blueman
0,borgmatic
0,botan
1,brave-bin
1,calcurse
0,calibre
0,canon-pixma-ts5055-complete
0,capt-src
1,catdoc
1,cbindgen
1,ccls
1,checkupdates+aur
0,cheese
1,chrony
1,clipnotify
1,cmake
0,cndrvcups-lt
0,code
0,cpanminus
1,cpupower
0,ctags
0,ctemplate
0,cups-pdf
1,dash
1,dejagnu
1,direnv
0,discord
0,doxygen
1,dunst
0,efitools
0,electron6
0,engrampa
1,exfat-utils
1,figlet
1,fltk
0,ghidra-darcula
0,gimp
0,gitkraken
1,git-secret
1,gksu
0,glxinfo
1,gn-m85
0,gnuplot
1,go
0,google-cloud-sdk
0,googler
1,gparted
0,gperf
0,gradle
1,gtk2-perl
1,gtk2_prefs
1,htop
1,i7z
1,imake
1,inetutils
0,inkscape
1,intel-ucode
1,amd-ucode
1,iperf
0,jetbrains-toolbox
0,keepass
1,khard
0,languagetool
1,lib32-libpng12
1,lib32-libtiff
0,libreoffice-fresh
0,lld
0,luit
1,lxappearance
1,ly
1,mailcap
1,man-pages
1,meson
1,mksh
0,mozilla-common
1,mpd-mpris
0,mpris-ctl
1,mutt-wizard
1,ncmpcpp
1,ncpamixer
1,ncurses5-compat-libs
1,nemo
1,neofetch
1,neovim
1,net-tools
1,newsboat
0,nextcloud-client
1,notmuch
1,nvm
1,opencv
1,openh264
1,openssl-1.0
1,pamixer
1,parcel-bundler
1,pavucontrol
0,peaclock
1,perl-date-holidayparser
1,perl-file-copy-recursive
1,perl-module-install
1,perl-pod-parser
0,pipes.sh
1,playerctl
1,polkit-gnome
1,qt5ct
1,qt5-quickcontrols
1,qt5-script
1,qt5-styleplugins
1,qutebrowser
0,r8152-dkms
1,refind
1,rsync
0,ruby-bundler
0,ruby-erubis
0,ruby-rainbow
0,ruby-ronn
0,ruby-thor
0,ruby-xdg
1,rust
,scdoc
,scrot
,simplescreenrecorder
,solid
,spicetify-cli
,spotify
,spotifyd-full-git
,spotify-tui
,sselp
,stegoveritas
,sublime-text-3
,surfraw
,sxhkd
,sysbench
,syslinux
,system-config-printer
,taskwarrior-tui
,tcsh
,telegram-desktop
,terminal_dimensions-git
,termite
,texlive-bibtexextra
,texlive-fontsextra
,texlive-formatsextra
,texlive-games
,texlive-humanities
,texlive-music
,texlive-pstricks
,texlive-publishers
,texlive-science
,thermald
,tidy
,tlp
,tmate
,tmsu-bin
,torbrowser-launcher
,tracker3
,ttf-inconsolata
,ttf-joypixels
,ttf-linux-libertine
,ttf-material-design-icons
,ttf-symbola
,turbostat
,typora
,udevil
,unclutter
,unp
,urlscan
,vala
,vi
,virtualbox
,vlc
,vtop
,vue-cli
,wallabag-client
,wd719x-firmware
,webkitgtk-bin
,weechat
,wget
,whatsapp-nativefier-dark
,wireless_tools
,wireshark-qt
,xautolock
,xbanish-timeout-git
,xbitmaps
,xf86-video-intel
,xf86-video-vesa
,xkblayout-state-git
,xkb-switch
,xmenu
,xorg-docs
,xorg-fonts-100dpi
,xorg-fonts-75dpi
,xorg-font-utils
,xorg-iceauth
,xorg-server
,xorg-server-devel
,xorg-server-xnest
,xorg-server-xvfb
,xorg-sessreg
,xorg-smproxy
,xorg-x11perf
,xorg-xbacklight
,xorg-xcmsdb
,xorg-xcursorgen
,xorg-xdriinfo
,xorg-xev
,xorg-xgamma
,xorg-xhost
,xorg-xinit
,xorg-xinput
,xorg-xkbevd
,xorg-xkbutils
,xorg-xkill
,xorg-xlsatoms
,xorg-xlsclients
,xorg-xpr
,xorg-xrefresh
,xorg-xsetroot
,xorg-xvinfo
,xorg-xwayland
,xorg-xwd
,xorg-xwud
,xscreensaver
,xss-lock
,xsvg
,yarn
,yasm
,yay
,ytfzf
,zoom
